,Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,,,,,,,,,,,,,4367.0,4514.0,5146.0,6167.0,6925.0,8556.0,10297.0,12066.0,15325.0,17890.0,20296.0,20170.0,20352.0,19687.0,19454.0,20235.0,19585.0,19990.0
1,Albania,2221.0,1333.0,843.0,1461.0,2361.0,2882.0,3200.0,2259.0,2560.0,3209.0,3483.0,3928.0,4348.0,5611.0,7185.0,8052.0,8905.0,10675.0,12901.0,12093.0,11938.0,12896.0,12323.0,12784.0,13238.0,11393.0,11865.0,13055.0,15202.0,15960.0
2,Algeria,61892.0,46670.0,49217.0,50963.0,42426.0,42066.0,46941.0,48178.0,48188.0,48845.0,54749.0,54745.0,56761.0,67864.0,85327.0,103198.0,117027.0,134977.0,171001.0,137054.0,161207.0,199394.0,209005.0,209703.0,213518.0,164779.0,159049.0,167555.0,180441.0,183687.0
3,Angola,11236.0,10891.0,8398.0,6095.0,4438.0,5539.0,6535.0,7675.0,6506.0,6153.0,9130.0,8936.0,12497.0,14189.0,19641.0,28234.0,41789.0,60449.0,84178.0,75492.0,82471.0,104116.0,115342.0,124912.0,126777.0,102962.0,95337.0,122124.0,107316.0,92191.0
4,Antigua and Barbuda,459.0,482.0,499.0,535.0,589.0,577.0,634.0,681.0,728.0,766.0,825.0,796.0,810.0,850.0,912.0,1013.0,1147.0,1299.0,1358.0,1216.0,1146.0,1140.0,1214.0,1194.0,1273.0,1353.0,1460.0,1516.0,1626.0,1717.0
5,Argentina,153205.0,205515.0,247987.0,256365.0,279150.0,280080.0,295120.0,317549.0,324242.0,307673.0,308491.0,291738.0,108731.0,138151.0,164922.0,199273.0,232892.0,287920.0,363545.0,334633.0,424728.0,527644.0,579666.0,611471.0,563614.0,631621.0,554107.0,642928.0,518092.0,477743.0
6,Armenia,,,108.0,835.0,648.0,1287.0,1597.0,1639.0,1892.0,1845.0,1912.0,2118.0,2376.0,2807.0,3577.0,4900.0,6384.0,9206.0,11662.0,8648.0,9260.0,10142.0,10619.0,11121.0,11610.0,10529.0,10572.0,11537.0,12411.0,13105.0
7,Australia,323921.0,324597.0,318146.0,309639.0,353222.0,379770.0,425593.0,426674.0,381088.0,411828.0,399297.0,376908.0,424521.0,540428.0,657442.0,734786.0,781934.0,949164.0,1057171.0,997169.0,1249703.0,1504236.0,1561052.0,1509639.0,1449336.0,1229938.0,1264944.0,1386357.0,1418275.0,1417003.0
8,Austria,166493.0,174045.0,195069.0,189958.0,203514.0,240747.0,236828.0,212610.0,217994.0,217010.0,196998.0,197123.0,213725.0,261220.0,300264.0,315188.0,334603.0,386995.0,429638.0,398602.0,390940.0,429431.0,407677.0,428382.0,439073.0,377157.0,390961.0,417672.0,457637.0,459589.0
9,Azerbaijan,,,1193.0,1309.0,2258.0,2417.0,3177.0,3963.0,4280.0,4581.0,5273.0,5475.0,6232.0,7276.0,8682.0,13273.0,21027.0,33090.0,46378.0,44289.0,52913.0,64819.0,68700.0,73557.0,75194.0,50818.0,37810.0,41256.0,45418.0,45248.0
10,Bahamas,5218.0,5128.0,5125.0,5097.0,5372.0,5653.0,5950.0,6332.0,6833.0,7684.0,8076.0,8318.0,8881.0,8870.0,9055.0,9836.0,10167.0,10618.0,10526.0,9982.0,10096.0,10070.0,10720.0,10677.0,10844.0,11240.0,11262.0,12162.0,12803.0,13262.0
11,Bahrain,4964.0,5207.0,5441.0,5985.0,6410.0,6785.0,7055.0,7316.0,6994.0,7581.0,9061.0,9187.0,9591.0,11072.0,13147.0,15965.0,18501.0,21725.0,25705.0,22933.0,25708.0,28770.0,30743.0,32532.0,33381.0,31119.0,32176.0,35433.0,38291.0,38952.0
12,Bangladesh,35383.0,36468.0,36476.0,38234.0,41538.0,45921.0,48168.0,50340.0,51928.0,53984.0,54586.0,54755.0,57500.0,63204.0,68593.0,70921.0,75770.0,85604.0,97062.0,108896.0,122039.0,131079.0,141705.0,161297.0,183966.0,208695.0,235623.0,262077.0,287630.0,314656.0
13,Barbados,2024.0,2032.0,1957.0,2075.0,2163.0,2275.0,2425.0,2564.0,2891.0,3029.0,3122.0,3117.0,3170.0,3275.0,3514.0,3897.0,4303.0,4546.0,4595.0,4601.0,4447.0,4359.0,4332.0,4371.0,4353.0,4422.0,4764.0,4990.0,5145.0,5207.0
14,Belarus,,,12806.0,11414.0,15113.0,10529.0,14433.0,14008.0,15141.0,12100.0,13284.0,12870.0,15186.0,18543.0,23986.0,31318.0,38318.0,46937.0,62967.0,50994.0,57220.0,61368.0,65669.0,75496.0,78736.0,56329.0,47703.0,54723.0,59643.0,60951.0
15,Belgium,201235.0,206535.0,230030.0,219932.0,239931.0,289904.0,281467.0,255170.0,260971.0,260544.0,238603.0,238046.0,259777.0,319613.0,371388.0,388029.0,410173.0,472475.0,521084.0,485781.0,484450.0,527491.0,498160.0,520254.0,532607.0,455219.0,468148.0,495757.0,533153.0,531813.0
16,Belize,412.0,445.0,518.0,560.0,581.0,620.0,641.0,654.0,689.0,732.0,832.0,872.0,933.0,990.0,1058.0,1114.0,1217.0,1291.0,1370.0,1339.0,1398.0,1487.0,1574.0,1614.0,1707.0,1743.0,1820.0,1863.0,1925.0,1997.0
17,Benin,1960.0,1987.0,2246.0,2274.0,1598.0,2169.0,2361.0,2268.0,2455.0,2690.0,2577.0,2682.0,3065.0,3913.0,4527.0,4812.0,5147.0,5977.0,7166.0,7116.0,6983.0,7821.0,8157.0,9160.0,9723.0,8295.0,8576.0,9265.0,10456.0,11184.0
18,Bhutan,281.0,244.0,238.0,249.0,253.0,296.0,311.0,348.0,382.0,401.0,436.0,455.0,504.0,575.0,670.0,762.0,858.0,1020.0,1291.0,1214.0,1433.0,1737.0,1814.0,1849.0,1830.0,2027.0,2127.0,2405.0,2627.0,2840.0
19,Bolivia,4868.0,5343.0,5643.0,5734.0,5970.0,6702.0,7375.0,7917.0,8490.0,8269.0,8385.0,8155.0,7917.0,8092.0,8785.0,9573.0,11520.0,13216.0,16792.0,17464.0,19786.0,24135.0,27282.0,30883.0,33237.0,33238.0,34053.0,38058.0,41410.0,43687.0
20,Bosnia and Herzegovina,,,,,,,3584.0,4578.0,5281.0,5766.0,5554.0,5784.0,6711.0,8477.0,10157.0,10935.0,12460.0,15323.0,18712.0,17601.0,17164.0,18629.0,17207.0,18155.0,18522.0,16251.0,16917.0,18169.0,19881.0,20152.0
